px,py,pz,E,mx,my,mz,K
29.86957304,26.05389726,-12.2561564,41.48747192,-29.86957304,-26.05389726,42.65854303,58.2301318
-32.26182692,32.02229292,-1294.365997,1295.163923,32.26182692,-32.02229292,-922.7437999,923.8627457
39.61600688,11.68957776,371.9949833,374.2811,-39.61600688,-11.68957776,164.991025,170.0826639
-13.91437865,-8.572195473,60.79769894,62.95595814,13.91437865,8.572195473,-28.32360952,32.70044839
-14.14839572,11.89598922,123.7970666,125.1695065,14.14839572,-11.89598922,-10.75550804,21.38627163
43.87327328,9.516165794,-2.839281624,44.98314173,-43.87327328,-9.516165794,-12.39436354,46.5729725
-6.86404896,24.67564677,228.0953708,229.5288673,6.86404896,-24.67564677,12.22615985,28.38100943
-13.12008608,31.16188973,-91.1836539,97.25049495,13.12008608,-31.16188973,-515.5002751,516.6079109
-23.46698245,47.47803602,-343.0427931,347.1069303,23.46698245,-47.47803602,-284.2617178,289.1532248
43.8142812,-2.959313831,1427.301772,1427.97717,-43.8142812,2.959313831,2185.909713,2186.350777
-19.41229092,40.45411715,252.6251129,256.5790722,19.41229092,-40.45411715,297.1490655,300.5177861
-28.34989995,-33.86516853,-772.5673051,773.828668,28.34989995,33.86516853,-425.4565891,427.7427681
11.48948824,-29.98964339,158.7000636,161.9169455,-11.48948824,29.98964339,934.7997597,935.3512591
7.700015339,-45.30166714,1116.583799,1117.528931,-7.700015339,45.30166714,1151.042341,1151.959202
-9.968834089,-26.99623953,-242.7402603,244.4401943,9.968834089,26.99623953,-24.4427821,37.75743898
-18.09332083,36.19165848,-1390.548636,1391.137202,18.09332083,-36.19165848,-621.8279746,623.1430289
-22.81382807,-38.37938522,-170.8867367,176.6231149,22.81382807,38.37938522,-248.4566173,252.4364051
9.933352515,4.959949592,-324.3051064,324.4951072,-9.933352515,-4.959949592,0.5665148689,11.11726276
35.19730606,-1.476794236,82.31910211,89.54030292,-35.19730606,1.476794236,3.585252338,35.410243
32.24275841,-6.918022433,0.611485814,32.982244,-32.24275841,6.918022433,-83.32126809,89.60964356
36.31016479,8.865404104,12.25788229,39.33546918,-36.31016479,-8.865404104,89.55977998,97.0462655
10.85073575,33.51409308,48.38674726,59.85156816,-10.85073575,-33.51409308,-11.87744453,37.17534922
-21.50997579,-23.21483886,105.9815331,110.6060268,21.50997579,23.21483886,4.251112945,31.93242495
22.23712063,-16.04446559,-99.25495786,102.9731085,-22.23712063,16.04446559,-964.4051028,964.7948574
-13.92124134,-39.81095308,-743.4697803,744.6650436,13.92124134,39.81095308,-328.0179131,330.7181039
-26.19389412,35.60191627,-659.2063755,660.6865082,26.19389412,-35.60191627,-1083.20009,1084.101495
30.23220578,-19.39985505,14.64466731,38.79184094,-30.23220578,19.39985505,-58.25402512,68.43882002
-40.69198269,-13.09452199,-680.6545228,681.9955157,40.69198269,13.09452199,-1025.48511,1026.375669
-10.33874808,27.85661394,-219.2726796,221.2767242,10.33874808,-27.85661394,-1542.567383,1542.853529
26.57705829,-10.21486875,147.336588,150.0624994,-26.57705829,10.21486875,0.816964385,28.48422373
-28.14825008,-17.5429193,141.4279306,145.2650597,28.14825008,17.5429193,767.5054859,768.2218097
14.32530508,21.99002858,31.91396718,41.3192089,-14.32530508,-21.99002858,-47.89294489,54.61236025
-30.9148369,27.02353427,-749.9182092,751.0414896,30.9148369,-27.02353427,-284.0378335,286.9903995
39.00503997,31.04591484,-74.7758576,89.87030016,-39.00503997,-31.04591484,-225.7247243,231.1642124
-21.57857835,23.02628594,-216.1191143,218.410889,21.57857835,-23.02628594,-28.96697363,42.83608816
-27.35056345,20.76496102,-63.7672108,72.42578339,27.35056345,-20.76496102,-307.732902,309.6429813
38.92594283,0.4220184151,183.5142557,187.597679,-38.92594283,-0.4220184151,363.1487417,365.2292646
-8.153829559,-44.12040284,-100.2037184,109.7901637,8.153829559,44.12040284,-71.46533888,84.38240068
-23.57806099,28.24779853,-1.94027142,36.84600026,23.57806099,-28.24779853,-71.7406319,80.62618277
3.885241387,7.930973624,-29.0268905,30.34066274,-3.885241387,-7.930973624,-3292.379738,3292.391583
-25.2854118,-36.34358513,-149.1637078,155.5956939,25.2854118,36.34358513,-92.47903858,102.5308773
-3.668099062,6.205722465,-61.40477331,61.82646785,3.668099062,-6.205722465,16.19993092,17.73143265
-35.34876875,-26.54888685,-42.4765295,61.30770265,35.34876875,26.54888685,-62.32751697,76.41399228
-10.53688531,-41.09803081,-39.21004311,57.77111362,10.53688531,41.09803081,-126.2057914,133.1464452
13.07561184,-22.99703088,-79.59399546,83.87514034,-13.07561184,22.99703088,-787.3720849,787.8163715
22.70353496,-5.639762116,-1527.505726,1527.68485,-22.70353496,5.639762116,-126.2347071,128.3840282
